"filename", "language", "Makefile", "CMake", "C++", "comment", "blank", "total"
"/home/lqf/cpp/Itachi/build/CMakeFiles/Makefile.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/Makefile", "Makefile", 7, 0, 0, 4, 3, 14
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/buffer_test.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/config_test.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/eventloop_test.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/logger_test.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/tcpserver_test.dir/DependInfo.cmake", "CMake", 0, 27, 0, 0, 4, 31
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/tcpserver_test.dir/cmake_clean.cmake", "CMake", 0, 9, 0, 0, 2, 11
"/home/lqf/cpp/Itachi/build/test/CMakeFiles/threapool_test.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 1
"/home/lqf/cpp/Itachi/build/test/Makefile", "Makefile", 27, 0, 0, 6, 13, 46
"/home/lqf/cpp/Itachi/src/Base/include/EventLoop.h", "C++", 0, 0, -1, 0, 0, -1
"/home/lqf/cpp/Itachi/src/Base/include/callback.h", "C++", 0, 0, 3, 0, -1, 2
"/home/lqf/cpp/Itachi/src/Base/include/definition.h", "C++", 0, 0, 1, 0, -1, 0
"/home/lqf/cpp/Itachi/src/Base/include/threadpool_c++11.h", "C++", 0, 0, 18, 0, 1, 19
"/home/lqf/cpp/Itachi/src/Base/src/threadpool_c++11.cpp", "C++", 0, 0, 61, 0, 3, 64
"/home/lqf/cpp/Itachi/src/Net/include/Tcpserver.h", "C++", 0, 0, 23, 0, 0, 23
"/home/lqf/cpp/Itachi/src/Net/include/adaptor.h", "C++", 0, 0, 28, 0, -2, 26
"/home/lqf/cpp/Itachi/src/Net/include/tcpConnection.h", "C++", 0, 0, 5, 0, 0, 5
"/home/lqf/cpp/Itachi/src/Net/src/TcpServer.cpp", "C++", 0, 0, 70, 1, 1, 72
"/home/lqf/cpp/Itachi/src/Net/src/adaptor.cpp", "C++", 0, 0, 71, 1, -1, 71
"/home/lqf/cpp/Itachi/src/Net/src/socket.cpp", "C++", 0, 0, 9, 0, 0, 9
"/home/lqf/cpp/Itachi/src/Net/src/tcpConnection.cpp", "C++", 0, 0, 38, 0, -1, 37
"/home/lqf/cpp/Itachi/test/tcpserver_test.cpp", "C++", 0, 0, 28, 17, 6, 51
"Total", "-", 34, 42, 354, 29, 27, 486
