"filename", "language", "C++", "comment", "blank", "total"
"/home/lqf/cpp/Itachi/src/Base/include/EventLoop.h", "C++", 2, 0, -1, 1
"/home/lqf/cpp/Itachi/src/Base/include/channel.h", "C++", 1, 0, 0, 1
"/home/lqf/cpp/Itachi/src/Base/include/epoll_poller.h", "C++", 1, 0, 0, 1
"/home/lqf/cpp/Itachi/src/Base/include/json.hpp", "C++", 15660, 3846, 2604, 22110
"/home/lqf/cpp/Itachi/src/Base/include/poller.h", "C++", 1, 0, -1, 0
"/home/lqf/cpp/Itachi/src/Base/src/EventLoop.cpp", "C++", 24, 0, 1, 25
"/home/lqf/cpp/Itachi/src/Base/src/channel.cpp", "C++", 6, 0, 0, 6
"/home/lqf/cpp/Itachi/src/Base/src/epoll_poller.cpp", "C++", 4, 8, 1, 13
"/home/lqf/cpp/Itachi/src/Base/src/threadpool_c++11.cpp", "C++", 2, 0, 0, 2
"/home/lqf/cpp/Itachi/src/Net/include/Tcpserver.h", "C++", -1, 0, 0, -1
"/home/lqf/cpp/Itachi/src/Net/include/tcpConnection.h", "C++", 1, 0, 0, 1
"/home/lqf/cpp/Itachi/src/Net/src/TcpServer.cpp", "C++", 4, 0, 0, 4
"/home/lqf/cpp/Itachi/src/Net/src/adaptor.cpp", "C++", 1, 0, 0, 1
"/home/lqf/cpp/Itachi/src/Net/src/tcpConnection.cpp", "C++", 4, 0, 1, 5
"Total", "-", 15710, 3854, 2605, 22169
