"filename", "language", "C++", "comment", "blank", "total"
"/home/lqf/cpp/Itachi/src/Base/include/callback.h", "C++", 7, 10, 5, 22
"/home/lqf/cpp/Itachi/src/Base/include/json.hpp", "C++", 15660, 3846, 2604, 22110
"/home/lqf/cpp/Itachi/src/Net/include/Tcpserver.h", "C++", 0, 8, 1, 9
"/home/lqf/cpp/Itachi/src/Net/include/adaptor.h", "C++", 7, 8, 4, 19
"/home/lqf/cpp/Itachi/src/Net/include/tcpConnection.h", "C++", 49, 11, 3, 63
"/home/lqf/cpp/Itachi/src/Net/src/TcpServer.cpp", "C++", 0, 8, 1, 9
"/home/lqf/cpp/Itachi/src/Net/src/adaptor.cpp", "C++", 0, 8, 1, 9
"/home/lqf/cpp/Itachi/src/Net/src/tcpConnection.cpp", "C++", 0, 8, 1, 9
"Total", "-", 15723, 3907, 2620, 22250
